"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"## Ask what year the store opened
- Assert that response contains ""2021""
- Assert that response does not contain English words (Yes,open,started,october,etc.)
","1247","Store Open Year","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.SwedishTest","cloud.cleo.squareup.sms.lang.SwedishTest","storeOpenYearTest"
"## Ask if the City has a complaint process
The model must translate ""complaint process"" to English before calling the tool for RAG query
- Assert that response contains ""yes"" in the naitive language
- Assert that response does not contain English words (Yes,complaint,found,etc.)
","2411","City RAG Complaint Search","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.FrenchTest","cloud.cleo.squareup.sms.lang.FrenchTest","cityRagTest"
"## Ask what year the store opened
- Assert that response contains ""2021""
- Assert that response does not contain English words (Yes,open,started,october,etc.)
","1917","Store Open Year","","2025-12-21","failed","2025-12-21","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","storeOpenYearTest"
"## Ask what the Bot's name is
- Assert that response contains ""Copper Bot""
- Assert that response does not contain English words (name,store,helpful,assistant,etc..)
","2058","Bot Name","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.FrenchTest","cloud.cleo.squareup.voice.lang.FrenchTest","botNameTest"
"## Ask what the Bot's name is
- Assert that response contains ""Copper Bot""
- Assert that response does not contain English words (name,store,helpful,assistant,etc..)
","2037","Bot Name","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","botNameTest"
"## Ask what year the store opened
- Assert that response contains ""2021""
- Assert that response does not contain English words (Yes,open,started,october,etc.)
","1984","Store Open Year","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","storeOpenYearTest"
"## Indicate we are all done with the call
- Assert that proper tool is called to end the call
- Assert that the lex Dialog has closed (guarantees Chime is back in control of the call)
  - Chime would then hang up on the caller
","2174","Hang Up","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.FinnishTest","cloud.cleo.squareup.voice.lang.FinnishTest","hangupTest"
"## Ensure Session is cleared for Facebook tests
- Clear all chat memory so tests are clean
  - assert that response contains ""cleared""
- We assert that lex dialog is CLOSED
","2821","Facebook Clear Memory","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.fb.FacebookTests","cloud.cleo.squareup.fb.FacebookTests","facebookClearTest"
"## Ask if Candles are in stock
The model must interpret this as non-English and now converese in this languauge moving forward
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","2072","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.FrenchTest","cloud.cleo.squareup.sms.lang.FrenchTest","candlesTest"
"## Indicate we are all done with the call
- Assert that proper tool is called to end the call
- Assert that the lex Dialog has closed (guarantees Chime is back in control of the call)
  - Chime would then hang up on the caller
","1709","Hang Up","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","hangupTest"
"## Ask if Candles are in stock
The model must interpret this as non-English and now converese in this languauge moving forward
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","2367","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.DutchTest","cloud.cleo.squareup.sms.lang.DutchTest","candlesTest"
"## Ask what the Bot's name is
- Assert that response contains ""Copper Bot""
","1243","Bot Name","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.LanguageSwitchTest","cloud.cleo.squareup.voice.LanguageSwitchTest","botNameTest"
"## Ask if Candles are in stock
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","2353","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.SwedishTest","cloud.cleo.squareup.voice.lang.SwedishTest","candlesTest"
"## Ask what year the store opened
- Assert that response contains ""2021""
- Assert that response does not contain English words (Yes,open,started,october,etc.)
","1849","Store Open Year","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","storeOpenYearTest"
"## Ask to speak in the target language
- Assert that proper tool is called to switch languages
- Assert that the exact language (enum) was passed correctly to the tool call
- Assert that the lex Dialog has closed (guarantees Chime is back in control of the call)
Upon Success, Chime engages the proper LexBot in the target Locale.
If this test fails, remaining tests are skipped since they are predicated on speaking the target language
","2204","Indicate Starting Language","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.NorwegianTest","cloud.cleo.squareup.voice.lang.NorwegianTest","indicateLanguageTest"
"## Ask if Candles are in stock
The model must interpret this as non-English and now converese in this languauge moving forward
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","2106","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.GermanTest","cloud.cleo.squareup.sms.lang.GermanTest","candlesTest"
"## Ask what year the store opened
- Assert that response contains ""2021""
- Assert that response does not contain English words (Yes,open,started,october,etc.)
","1319","Store Open Year","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.FinnishTest","cloud.cleo.squareup.sms.lang.FinnishTest","storeOpenYearTest"
"## Ask if Candles are in stock
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","1953","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.GermanTest","cloud.cleo.squareup.voice.lang.GermanTest","candlesTest"
"## Ask if Candles are in stock
- Assert that response contains ""yes"" in the naitive language
  - This ensures the query search term was translated to English properly for the search to succeed
- Assert that response does not contain English words (Yes,Candle,in stock,etc.)
","3255","Inventory Candles","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.voice.lang.PolishTest","cloud.cleo.squareup.voice.lang.PolishTest","candlesTest"
"## Ask if the City has a complaint process
The model must translate ""complaint process"" to English before calling the tool for RAG query
- Assert that response contains ""yes"" in the naitive language
- Assert that response does not contain English words (Yes,complaint,found,etc.)
","2041","City RAG Complaint Search","","2025-12-21","passed","2025-12-21","","cloud.cleo.squareup.sms.lang.PolishTest","cloud.cleo.squareup.sms.lang.PolishTest","cityRagTest"
